filename,archivo,highpass_cutoff,min_silence_len,silence_thresh,transcripcion,num_chunks,palabras_sin_inaudibles,inaudibles
LP41335178.wav,D:/Repositorio/jonatha1992/Transcriptor/Audios/LP41335178.wav,300,500,-20,no hay otra de emer [inaudible] auditivo visual de [inaudible] amenazas para el país [inaudible] Tú nada más te aviso eso de toda la seguridad En qué parte de ezeiza [inaudible] María Laura Salinas para soñar dañar la bomba dónde la van a calle qué calle en el aeropuerto saben qué no en no sabes en qué no le informo hasta luego,17,58,4
LP41335178.wav,D:/Repositorio/jonatha1992/Transcriptor/Audios/LP41335178.wav,300,500,-25,no hay otra de emer [inaudible] auditivo visual de [inaudible] amenazas para el país [inaudible] Tú nada más te aviso eso de toda la seguridad En qué parte de ezeiza [inaudible] María Laura Salinas para soñar dañar la bomba dónde la van a calle qué calle en el aeropuerto saben qué no en no sabes en qué no le informo hasta luego,17,58,4
LP41335178.wav,D:/Repositorio/jonatha1992/Transcriptor/Audios/LP41335178.wav,300,500,-30,No yo no sea de emergencias [inaudible] auditivo visual delictivo En qué parte de ezeiza pisos en la María Laura Salinas para soñar soñar la bomba dónde la van a En qué calle en el aeropuerto saben qué no en un no sabes en qué No yo le informo Hasta luego Muchas gracias,12,52,1
LP41335178.wav,D:/Repositorio/jonatha1992/Transcriptor/Audios/LP41335178.wav,300,500,-35,No yo no sea de emergencias [inaudible] auditivo visual delictivo En qué parte de ezeiza pisos en la María Laura Salinas para soñar soñar la bomba dónde la van a En qué calle en el aeropuerto saben qué no en un no sabes en qué No yo le informo Hasta luego Muchas gracias,12,52,1
LP41335178.wav,D:/Repositorio/jonatha1992/Transcriptor/Audios/LP41335178.wav,300,800,-20,no hay otra de emer auditivo y visual de [inaudible] Tú nada más te aviso eso de toda la seguridad En qué parte de ezeiza para soñar dañar la bomba dónde la van a poner En qué calle en el aeropuerto saben qué parte no sabes en qué bien le informo hasta luego,9,52,1
LP41335178.wav,D:/Repositorio/jonatha1992/Transcriptor/Audios/LP41335178.wav,300,800,-25,no hay otra de emer auditivo y visual de [inaudible] Tú nada más te aviso eso de toda la seguridad En qué parte de ezeiza para soñar dañar la bomba dónde la van a poner En qué calle en el aeropuerto saben qué parte no sabes en qué bien le informo hasta luego,9,52,1
LP41335178.wav,D:/Repositorio/jonatha1992/Transcriptor/Audios/LP41335178.wav,300,800,-30,no hay otra de emergencias auditivo y visual delictivo desde donde ya lo concluí En qué parte de ezeiza Qué sucede en la plata María Laura Salinas es la circunferencia para sanear dañar la bomba dónde la van a ponerle Qué detalle en el aeropuerto saben qué parte no sabes en qué avión No solo le informó Hasta luego muchas,4,60,0
LP41335178.wav,D:/Repositorio/jonatha1992/Transcriptor/Audios/LP41335178.wav,300,800,-35,no hay otra de emergencias auditivo y visual delictivo desde donde ya lo concluí En qué parte de ezeiza Qué sucede en la plata María Laura Salinas es la circunferencia para sanear dañar la bomba dónde la van a ponerle Qué detalle en el aeropuerto saben qué parte no sabes en qué avión No solo le informó Hasta luego muchas,4,60,0
LP41335178.wav,D:/Repositorio/jonatha1992/Transcriptor/Audios/LP41335178.wav,300,1000,-20,no hay otra de emer auditivo y visual de En qué parte de ezeiza para soñar dañar la bomba dónde la van a poner en Qué detalle de ezeiza saben qué parte no sabes en qué bien yo le informo hasta luego,6,42,0
LP41335178.wav,D:/Repositorio/jonatha1992/Transcriptor/Audios/LP41335178.wav,300,1000,-25,no hay otra de emer auditivo y visual de En qué parte de ezeiza para soñar dañar la bomba dónde la van a poner en Qué detalle de ezeiza saben qué parte no sabes en qué bien yo le informo hasta luego,6,42,0
LP41335178.wav,D:/Repositorio/jonatha1992/Transcriptor/Audios/LP41335178.wav,300,1000,-30,no hay otra de emergencias para el país de poner una bomba de leche Yo nada más te aviso eso de toda la seguridad en qué parte de ezeiza para sanear dañar la bomba dónde la van a ponerle En qué calle defensa del aeropuerto saben qué parte no sabes en qué avión No solo le informó Hasta luego Muchas gracias,2,61,0
LP41335178.wav,D:/Repositorio/jonatha1992/Transcriptor/Audios/LP41335178.wav,300,1000,-35,no hay otra de emergencias para el país de poner una bomba de leche Yo nada más te aviso eso de toda la seguridad en qué parte de ezeiza para sanear dañar la bomba dónde la van a ponerle En qué calle defensa del aeropuerto saben qué parte no sabes en qué avión No solo le informó Hasta luego Muchas gracias,2,61,0
LP41335178.wav,D:/Repositorio/jonatha1992/Transcriptor/Audios/LP41335178.wav,500,500,-20,no hay otra emer [inaudible] auditivo y visual de [inaudible] y ahora la amenazas para el país [inaudible] Yo nada más te aviso eso de toda la seguridad En qué parte de ezeiza pisos María Laura Salinas para soñar soñar la bomba dónde la van a calle A qué distancia en el aeropuerto saben qué no en un no sabes en qué [inaudible] yo le informo hasta luego,17,64,4
